(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(0.0, 0.0)
(131.66403338599895, 362.6594134783971)
(0.0, 0.0)
(126.73282640202771, 357.66523600572265)
(0.0, 0.0)
(0.0, 0.0)
(162.66341339839872, 353.3262668079972)
(497.32338686559604, 352.32628680759717)
(108.66630444565185, 360.72101981882275)
(0.0, 0.0)
(0.0, 0.0)
(115.33102671279909, 361.6594334779971)
(0.0, 0.0)
(168.7947419527626, 355.0766499410385)
(161.49838501614983, 355.9964400355996)
(141.99981066691913, 356.9328574228568)
(0.0, 0.0)
(162.49918750406246, 349.49825250873744)
(132.45730273303747, 354.07735469270324)
(131.999868000132, 350.999649000351)
(132.99933500332497, 347.99826000869996)
(117.27738685315492, 356.1099240780308)
(192.7495181262047, 349.29079343968306)
(0.0, 0.0)
(512.3327640747066, 349.59220415681017)
(507.99746001269995, 351.99824000879994)
(111.7726256612494, 355.9996763639306)
(102.99948500257499, 359.99820000899996)
(0.0, 0.0)
(182.99817001829982, 341.32992003413295)
(504.85353559974715, 349.5203964328378)
(0.0, 0.0)
(427.3247868375966, 339.6598734691973)
(509.8307841794124, 339.66496834182493)
(504.2366545619393, 348.9513839484268)
(0.0, 0.0)
(431.49568504314954, 338.49661503384965)
(528.4083018568164, 343.4553023130603)
(528.8285429755623, 345.9367499440991)
(527.8240057992921, 338.2277141462658)
(0.0, 0.0)
(422.99879143202446, 336.3799912952629)
(148.5545651917876, 333.2200007555505)
(176.8726629553953, 334.2907875306227)
(176.8665880592942, 334.1628144461565)
(464.29050594040183, 334.2491643770891)
(161.66343339799872, 328.3267667979974)
(456.79052469035497, 324.957520939531)
(226.6621334239982, 324.6601734631974)
(444.84703686929015, 326.80541938663083)
(444.8122219923613, 326.3747960157525)
(167.94416453750355, 322.02724106570935)
(167.99916000419998, 321.99839000804997)
(421.95727844013726, 324.37418906452734)
(152.24923875380622, 319.1650708413124)
(0.0, 0.0)
(444.56050502412756, 339.1021956585919)
(444.424980856335, 338.7698813081278)
(158.99841001589982, 317.83015503178297)
(181.19981880018122, 318.81634785031883)
(360.6594534775971, 314.3270467923975)
(158.22116741443944, 313.55346519912086)
(353.6654877817074, 314.9989500035)
(202.99898500507496, 314.49842750786246)
(0.0, 0.0)
(161.33172001613315, 312.9968700312997)
(442.37068710771075, 316.0561087514362)
(439.84956015043986, 318.36634830031835)
